Ensambel	Gene Name	Gene Type	Normal-1	Normal-2	Normal-3	Normal-4	Tumor-1	Tumor-2	Tumor-3	Tumor-4
92	ENSG00000005249.13	PRKAR2B	protein_coding	382	3298	465	427	58	440	2243	7410
93	ENSG00000005302.19	MSL3	protein_coding	1659	4468	3726	1252	2104	2895	3740	895
94	ENSG00000005339.15	CREBBP	protein_coding	9258	19429	16665	7088	10858	11465	35810	12004
95	ENSG00000005379.17	TSPOAP1	protein_coding	250	2193	260	760	25	424	233	2009
96	ENSG00000005381.8	MPO	protein_coding	1	16	6	0	3	16	6	7
97	ENSG00000005421.9	PON1	protein_coding	0	13	15	3	0	26	71	3
98	ENSG00000005436.14	GCFC2	protein_coding	412	1429	1843	809	1377	708	3198	1221
99	ENSG00000005448.17	WDR54	protein_coding	94	460	704	157	382	508	1518	145
100	ENSG00000005469.12	CROT	protein_coding	2315	1407	690	595	1568	368	1976	557
101	ENSG00000005471.19	ABCB4	protein_coding	48	115	90	13	21	73	89	86
102	ENSG00000005483.21	KMT2E	protein_coding	3743	14645	4581	4960	4281	8304	12089	7879
103	ENSG00000005486.17	RHBDD2	protein_coding	3335	6152	5815	3437	6449	6040	12934	2381
104	ENSG00000005513.10	SOX8	protein_coding	64	471	45	71	13	166	63	82
105	ENSG00000005700.15	IBTK	protein_coding	2875	26544	22534	7173	5339	10412	20848	3889
106	ENSG00000005801.18	ZNF195	protein_coding	508	4309	2425	1928	1192	1704	8961	817
107	ENSG00000005810.18	MYCBP2	protein_coding	8872	10416	13366	3079	5354	3404	12001	5186
108	ENSG00000005812.11	FBXL3	protein_coding	2301	4975	3885	1908	3149	2118	3671	2592
109	ENSG00000005844.19	ITGAL	protein_coding	717	964	2168	115	155	1732	950	245
110	ENSG00000005882.12	PDK2	protein_coding	981	2584	1585	993	501	908	2629	2078
111	ENSG00000005884.18	ITGA3	protein_coding	4181	29067	55863	8389	83304	37287	48811	8422
112	ENSG00000005889.16	ZFX	protein_coding	1385	6418	5378	1838	2360	1992	7425	3137
113	ENSG00000005893.16	LAMP2	protein_coding	10754	15146	15938	8135	28522	8366	19979	8226
114	ENSG00000005961.19	ITGA2B	protein_coding	6	22	52	7	9	32	111	26
115	ENSG00000005981.13	ASB4	protein_coding	5	27	4	7	0	1	27	5
116	ENSG00000006007.12	GDE1	protein_coding	2715	7422	5995	3167	4295	3868	11050	4305
117	ENSG00000006015.18	REX1BD	protein_coding	595	1093	1123	526	1398	1018	2426	630
118	ENSG00000006016.11	CRLF1	protein_coding	110	745	26	150	103	14	165	75
119	ENSG00000006025.12	OSBPL7	protein_coding	179	19127	1612	4851	56	2562	3691	1378
120	ENSG00000006042.12	TMEM98	protein_coding	381	4864	1219	3254	423	1340	6744	2180
121	ENSG00000006047.13	YBX2	protein_coding	113	212	1031	83	2	32	765	174
122	ENSG00000006059.4	KRT33A	protein_coding	161	1	0	0	2	0	0	0
123	ENSG00000006062.17	MAP3K14	protein_coding	1738	1924	1622	612	292	2768	3560	1679
124	ENSG00000006071.15	ABCC8	protein_coding	9	692	22	278	0	10	45	605
125	ENSG00000006116.4	CACNG3	protein_coding	0	0	0	0	0	1	0	0
126	ENSG00000006118.15	TMEM132A	protein_coding	1102	2318	5977	3111	11362	3237	6566	2158
127	ENSG00000006125.18	AP2B1	protein_coding	3113	43445	50269	12451	21675	19810	45855	16552
128	ENSG00000006128.12	TAC1	protein_coding	1	3	0	13	0	1	6	206
129	ENSG00000006194.10	ZNF263	protein_coding	767	2448	1758	1012	2078	1579	3955	1303
130	ENSG00000006210.7	CX3CL1	protein_coding	1571	1562	1818	789	436	5885	2390	957
131	ENSG00000006282.21	SPATA20	protein_coding	728	9920	5483	2668	1781	2064	6986	2839
132	ENSG00000006283.18	CACNA1G	protein_coding	60	116	50	31	71	187	223	27
133	ENSG00000006327.14	TNFRSF12A	protein_coding	629	2511	3348	2602	5781	9912	8719	1708
134	ENSG00000006377.11	DLX6	protein_coding	3	1	366	1	9	4	5	2
135	ENSG00000006432.15	MAP3K9	protein_coding	9762	4032	3602	1688	4399	900	4573	746
136	ENSG00000006451.8	RALA	protein_coding	5651	9533	6775	2290	5331	4884	6150	1215
137	ENSG00000006453.14	BAIAP2L1	protein_coding	3822	17667	5092	7493	8771	8811	8287	2372
138	ENSG00000006459.11	KDM7A	protein_coding	2545	9641	4215	3067	8578	1949	3638	2310
139	ENSG00000006468.14	ETV1	protein_coding	160	861	2252	251	317	455	808	639
140	ENSG00000006530.18	AGK	protein_coding	792	2814	2098	1295	2042	1214	2682	939
141	ENSG00000006534.16	ALDH3B1	protein_coding	2964	12195	2696	1458	251	1140	15400	1349
142	ENSG00000006555.11	TTC22	protein_coding	25384	9834	4626	1602	4634	1926	7762	454
143	ENSG00000006576.16	PHTF2	protein_coding	1074	1844	1831	652	3460	1096	5346	876
144	ENSG00000006606.9	CCL26	protein_coding	4	8	9	11	10	6	6	4
145	ENSG00000006607.14	FARP2	protein_coding	2626	11382	16663	2773	6649	791	10509	2191
146	ENSG00000006611.17	USH1C	protein_coding	16	10197	4976	1907	8	2556	26524	459
147	ENSG00000006625.18	GGCT	protein_coding	882	990	1659	532	1713	949	2584	308
148	ENSG00000006634.8	DBF4	protein_coding	361	976	1809	623	1639	847	2404	296
149	ENSG00000006638.13	TBXA2R	protein_coding	165	252	352	137	201	837	396	489
150	ENSG00000006652.15	IFRD1	protein_coding	343	1277	488	575	581	578	1094	945
151	ENSG00000006659.13	LGALS14	protein_coding	0	0	1	0	0	1	179	1
152	ENSG00000006695.12	COX10	protein_coding	860	1588	2184	1130	2164	591	2583	697
153	ENSG00000006704.11	GTF2IRD1	protein_coding	4214	4299	4017	1166	4455	3036	9323	2041
154	ENSG00000006712.15	PAF1	protein_coding	2858	4290	3069	1735	5386	4115	8063	2255
155	ENSG00000006715.16	VPS41	protein_coding	2304	7422	5873	2462	3390	3609	13512	3666
156	ENSG00000006740.17	ARHGAP44	protein_coding	84	1796	1266	897	73	713	1119	881
157	ENSG00000006744.19	ELAC2	protein_coding	3555	6199	9716	3217	8972	2771	7834	2445
158	ENSG00000006747.15	SCIN	protein_coding	2579	7034	548	1154	77	1385	6291	304
159	ENSG00000006756.16	ARSD	protein_coding	1597	10110	4986	3257	1843	1852	4217	3125
160	ENSG00000006757.12	PNPLA4	protein_coding	678	2086	369	689	1182	252	963	715
161	ENSG00000006788.14	MYH13	protein_coding	55	61	5	31	1	4	27	41
162	ENSG00000006831.10	ADIPOR2	protein_coding	4791	12697	7299	6237	4375	7362	11688	4998
163	ENSG00000006837.12	CDKL3	protein_coding	8	43	47	29	16	30	78	32
164	ENSG00000007001.13	UPP2	protein_coding	1	7	5	1	4	9	13	2
165	ENSG00000007038.11	PRSS21	protein_coding	15	86	3465	12	120	1390	5310	4
166	ENSG00000007047.15	MARK4	protein_coding	2602	4842	2624	1695	7440	2801	8742	2183
167	ENSG00000007062.12	PROM1	protein_coding	285	12102	18584	1786	8	1794	5150	653
168	ENSG00000007080.11	CCDC124	protein_coding	1834	3009	3206	1079	4416	2652	2360	1197
169	ENSG00000007129.18	CEACAM21	protein_coding	35	33	115	3	12	93	116	29
170	ENSG00000007168.14	PAFAH1B1	protein_coding	5963	17178	9023	6432	13482	6278	12863	9538
171	ENSG00000007171.18	NOS2	protein_coding	14	123	1305	4	15	470	130	35
172	ENSG00000007174.18	DNAH9	protein_coding	30	38	2	16	40	17	19	24
173	ENSG00000007202.15	KIAA0100	protein_coding	8618	19422	33158	8161	14411	7583	28644	7393
174	ENSG00000007216.15	SLC13A2	protein_coding	1	15	34	9	9	195	142	4
175	ENSG00000007237.19	GAS7	protein_coding	5048	5089	1779	898	536	672	1483	3639
176	ENSG00000007255.10	TRAPPC6A	protein_coding	451	961	263	279	216	671	696	251
177	ENSG00000007264.15	MATK	protein_coding	55	97	169	35	77	104	51	20
178	ENSG00000007306.15	CEACAM7	protein_coding	1674	2768	4514	1	11	4071	4684	8
179	ENSG00000007312.13	CD79B	protein_coding	307	138	140	5	4	108	113	26
180	ENSG00000007314.12	SCN4A	protein_coding	8	61	15	53	2	24	187	147
181	ENSG00000007341.19	ST7L	protein_coding	412	906	963	424	860	294	1756	421
182	ENSG00000007350.17	TKTL1	protein_coding	1	3	14	2	0	7	12743	2
183	ENSG00000007372.24	PAX6	protein_coding	2	44	63	11	3	6	7	3
184	ENSG00000007376.8	RPUSD1	protein_coding	712	1532	1811	675	2893	972	2655	440
185	ENSG00000007384.15	RHBDF1	protein_coding	2603	5912	2989	1229	4254	2818	7304	1012
186	ENSG00000007392.17	LUC7L	protein_coding	788	3294	1474	1385	1550	1758	3475	1436
187	ENSG00000007402.12	CACNA2D2	protein_coding	44	593	59	354	18	71	181	589
188	ENSG00000007516.14	BAIAP3	protein_coding	274	741	234	280	48	295	1144	322
189	ENSG00000007520.4	TSR3	protein_coding	1322	1623	1643	645	2538	1185	2077	825
190	ENSG00000007541.17	PIGQ	protein_coding	892	3656	1748	1051	1536	1558	2813	1147
191	ENSG00000007545.16	CRAMP1	protein_coding	765	2015	1309	903	1040	867	2439	946
192	ENSG00000007866.22	TEAD3	protein_coding	4166	4265	4886	1216	5998	1681	6456	6072
193	ENSG00000007908.16	SELE	protein_coding	51	58	658	10	6	1662	2700	460
194	ENSG00000007923.16	DNAJC11	protein_coding	1267	2565	9089	1254	2790	1548	4279	916
195	ENSG00000007933.13	FMO3	protein_coding	59	403	270	64	112	552	855	130
196	ENSG00000007944.15	MYLIP	protein_coding	758	1654	1624	2067	81	1200	5263	2181
197	ENSG00000007952.18	NOX1	protein_coding	19	62	46	18	23	16	4754	22
198	ENSG00000007968.7	E2F2	protein_coding	1663	655	3709	628	361	529	1562	26
199	ENSG00000008018.9	PSMB1	protein_coding	4428	6097	12308	2317	12561	7909	12836	3052
