GSM4909553_20200611-190360B_012N_HG-U133_Plus_2_	GSM4909554_20200611-190360B_013N_HG-U133_Plus_2_	GSM4909555_20200616-190360B_014N_HG-U133_Plus_2_	GSM4909556_20200616-190360B_015N_HG-U133_Plus_2_	GSM4909609_20200611-190360B_012T_HG-U133_Plus_2_	GSM4909610_20200611-190360B_013T_HG-U133_Plus_2_	GSM4909611_20200616-190360B_014T_HG-U133_Plus_2_	GSM4909612_20200616-190360B_015T_HG-U133_Plus_2_
1552440_at	2.70238971358182	2.97834927509803	2.72681592069637	3.04679347389658	2.77213376839946	2.77607006457771	2.55511586093387	2.45943474790886
1552445_a_at	3.10842327078067	3.35098777144246	3.27511830103158	3.32862340959967	3.20975504472716	3.19750805676566	3.37618578012575	3.27247629832636
1552448_a_at	3.04450901262553	2.9208506511597	2.79383096691855	2.95858526023776	2.71594842746818	3.20052622293792	2.67927010275795	3.02706825263846
1552449_a_at	2.44374454074763	2.41940031836663	2.44424003235859	2.56505463410583	2.45444570968941	2.66948803391648	2.25446095258657	2.45265379580806
1552450_a_at	4.72538390522766	4.82029664672778	4.58978493760455	4.60624015421639	4.51396537780882	4.5594225859124	4.57910864032985	4.52675312550235
1552452_at	2.38057887803827	2.88428308617692	2.48636621556003	2.61992150164034	2.66120819474473	2.49850106497419	2.59442951863639	2.57479044633555
1552453_a_at	2.21733638533486	2.04110154227844	2.24536720030652	2.10904796017087	2.09357818514744	2.44308072558147	2.1184065405655	2.12102586746144
1552455_at	4.15153453130628	6.28481132417893	6.59160307879086	4.84828133116588	3.77071386913758	3.0787351376211	5.11022029281396	4.00483737697664
1552456_a_at	3.51252819716903	3.76423951083353	2.96114117497373	3.33987179350636	3.32861388178273	3.35913493716316	3.26906810249177	2.86207208881582
1552457_a_at	3.28039423824869	3.43354792747379	3.63165414414677	3.35961404543894	2.97176868505932	3.36148720333861	3.18838534017505	3.2959366146003
1552458_at	1.70230512468809	1.83667208137941	1.83433806684873	1.82144887569936	1.96150335214588	1.97595708701159	1.80995673545321	1.61410472314313
1552459_a_at	3.12057211607581	3.32433327182474	3.21999439097119	3.01630610160135	3.00174222809311	3.5029466979843	3.04830840393513	2.91068621540438
1552461_at	2.02869640690714	2.20983282287342	1.73500265347885	1.88323969587263	1.60948234306356	1.79209289876271	1.76641127085445	2.05813511951107
1552463_at	3.19593874837486	3.14415583737505	6.22097517876322	7.18673754685718	2.5325593052642	4.07896136983852	3.30697235095544	5.49234499338088
1552466_x_at	2.04384944376983	1.77205066416572	1.83311104779172	1.78442639067312	1.70690145410199	1.92077550751109	1.92036285046473	1.95115333177604
1552467_at	5.96710354603073	6.21222396560949	6.08656494882253	6.17878473199296	6.00295045392006	6.21586227074766	6.14899489219689	6.08656494882253
1552468_a_at	3.73708483638115	3.66173157539882	3.74705216370633	3.61205018218668	3.5328940230833	3.66605327570245	3.41083028730149	3.70405148629745
1552470_a_at	2.54989320270433	2.63107360468024	2.38488180188572	2.16105172757365	2.62704231631036	2.95438402992591	2.28711996349375	2.39172976423366
1552472_a_at	5.63810613327955	6.15707300527555	5.80666855501812	5.93248357477556	6.09105530511138	6.73204357634909	5.069991320499	6.39368154175845
1552473_at	6.77952308593078	6.85606500552462	6.46587393381803	6.64819780811577	6.77732223576434	6.68515521439312	6.77602666656571	6.37070899316126
1552474_a_at	6.29342459759528	6.43449359997013	6.03769951204176	6.30718194303481	6.03517217254804	6.21352524691884	5.92075687304059	5.9204337056514
1552476_s_at	3.83778128256895	4.11053048853361	4.26198206677082	4.22914999168201	3.95835020273439	3.96719270565765	3.77885025313865	3.57176788251747
1552477_a_at	6.12875392349025	5.8997668624787	6.03362304775828	6.32974856637103	8.26340380185919	7.97271828297985	6.93849522368281	6.6372051174609
1552478_a_at	2.17349405420578	2.26522637107043	2.21472016517004	2.09879563567184	2.37068857530045	2.4305493351693	2.2914162411417	2.03180560892954
1552480_s_at	3.17496934044668	1.85118210514719	2.23767783548807	2.04589243771994	2.41950909791329	1.93798199395621	4.25586955174516	2.69134698936813
1552481_s_at	3.43396800722701	3.14415583737505	2.79586194752322	3.41390134578738	3.31603693224789	3.58530938465958	3.0955067951336	2.92751978554276
1552482_at	3.2955389338361	3.3403682893723	3.08792588800757	3.35121818121211	3.14927381531704	3.27276622630666	3.15490749771937	3.70670831962679
1552484_at	4.81004477051855	5.2130664980328	4.85573298542222	4.57077111624342	4.95721937210999	4.96355883584897	4.78334225220627	4.57760410321414
1552485_at	3.40541968851045	3.33913566853241	3.24739740451973	3.14415583737505	3.52927184542648	3.42159055582487	2.89728496374012	3.20317423924927
1552486_s_at	3.62140447905025	3.68057311853904	3.5433200027134	3.50191642646749	3.47936339031656	3.681336674389	3.34126749854129	3.71264605685869
1552487_a_at	4.80045685680775	5.23709683295427	4.57742060700389	4.92264872961136	6.05225403872614	7.10672432013793	5.7660946382504	6.07053723563549
1552489_s_at	1.29869491473131	1.41183682751738	1.52547362826105	1.33000492159591	1.29621531677159	2.15653179794866	1.24395062664315	2.71884288412926
1552490_at	2.46107041806364	2.68978957704545	2.79589074083433	2.87792163429928	2.64993417756605	2.75885768563518	2.68978957704545	2.83478937262533
1552491_at	4.29042520305774	4.2900873774353	3.98441108171576	4.35626106230398	3.98441108171576	4.22602486515276	4.08661561323847	4.0529230019892
1552493_s_at	3.91410969734235	4.2079716395415	3.81107732565074	3.9871266647716	3.85220277357593	4.23012938295736	3.99141469562942	3.77004708846062
1552494_at	3.70018830815443	3.78425217390406	3.51574462727621	3.45213562751229	3.46687322505031	3.49090948431305	3.38926246223228	3.31590773284628
1552496_a_at	3.58179523650408	3.77750179088857	4.03572276167387	3.9768478194132	3.59911616189163	3.18884894003198	2.9164173595634	2.78626224083001
1552497_a_at	5.40359026501724	5.09097355267315	4.84497296288719	4.84275742698272	4.92654819208114	4.44484878254196	5.05309819049573	4.6046696772729
1552498_at	2.52360338925398	2.94317250867555	2.57457811085589	2.547983978814	2.69028092947542	2.39603916558286	2.2188207102298	2.39969433096172
1552499_a_at	2.98802498309568	3.02301681603665	3.3369469883696	3.0637996989191	3.20949414258757	3.21525186432471	3.1245620572597	3.40360019028299
1552501_a_at	5.09954480046891	5.32191874517006	4.65601921156994	5.30344103607317	5.15027127479096	5.00353355014293	5.14548677453332	4.96408478564826
1552502_s_at	6.69247106528799	6.29667520093926	6.30885403406346	6.14865949600541	4.98616976463943	6.2785803771477	4.70448459835321	5.72942973679969
1552503_at	4.01046236045187	4.60703549403405	4.15848091460473	4.17618100933047	4.201102022734	4.19238860107594	4.08212145970981	3.92883013262286
1552504_a_at	5.10137540617995	4.8117899177129	4.39889534905941	4.5639983692594	4.87067414910398	5.1037614677472	4.71428418621839	4.72544936879232
1552506_at	2.96747487223724	2.59413864200783	2.75462280314001	2.84970707462731	2.75634937403447	2.68888248573025	2.76610427347345	2.71425042460917
1552507_at	3.26479259806392	3.64558716332744	3.13815422378757	3.59181257672622	3.64558716332744	3.39190933084448	3.51253036066406	3.46934027910702
1552508_at	3.48867908293754	3.6045567905561	3.48986311765098	3.37382974206106	3.36735537074149	3.35108498404629	3.34282055316083	3.31539175764618
1552509_a_at	4.06357438076017	4.36454171775404	4.58694328661118	4.92264872961136	4.06677814130182	4.02854242040353	3.9253551701555	3.74173037060798
1552510_at	7.59728344633663	7.81268736075183	7.55685693862978	7.65368958680229	7.60586811189514	7.47187190455038	7.55640697764943	7.56503384273976
1552511_a_at	2.1736353778142	1.938556327614	2.2411843418972	1.7715625143027	2.44900456260402	2.40949326169392	1.53813933797593	1.50222084258287
1552514_at	1.62328911517244	1.79660911624751	1.82301259391854	1.79287284627585	1.62754060671612	1.53087899658522	1.68277848819856	1.59314936752975
1552515_at	3.18785847663565	3.29556450092214	3.15479853781099	3.27394228882226	3.58763197585223	3.19991521270514	3.19991521270514	3.14047631876039
1552516_a_at	2.69917136849293	2.57260484183168	2.50268420641829	2.58362893322451	2.62894143582968	2.58362893322451	2.40475886264414	2.1936340894778
1552518_s_at	2.66741230831552	2.55980109817253	2.61508775245955	2.68949644496077	2.85876351490305	3.21141986067848	2.88290480473192	2.84265383375306
1552519_at	4.85538069594304	4.48851658493048	5.026827111172	4.62611293431192	5.99261637379496	4.60806397301138	5.58180439458558	5.84162999363893
